"product_id","product_name","product_type","product_fire_coverage","product_legal_defense_coverage","product_liability_coverage","product_passangers_coverage","product_damage_coverage","product_theft_coverage","product_windshield_coverage"
"24f096d19c7120f7086e51266877d67f",Hybrid,CarIn,Y,Y,Y,Y,N,N,Y
"2ee90008545b355e0699389137e4ec6e",Hybrid,CarIn,N,Y,Y,Y,Y,Y,Y
"7e7d649964fcca2a6028458605455b95",Telematics,CarIn,N,N,N,N,N,N,N
cb827235a0cb20ae653207e9a9152e62,Telematics,CarIn New,N,N,Y,Y,N,N,N
"8d57b9ab34eb63911f907a4fce6da224",Telematics,CarIn New,N,Y,Y,N,N,N,N
"70de10d128c67576a6624d80d0ef7d58",Telematics,CarIn New,N,Y,Y,Y,N,N,N
c0b8d1ba9bd95dfd94182441cb2c1087,Telematics,CarIn New,Y,Y,Y,Y,N,N,N
fe22db69cdd179a45ad2a7afed0cdeb7,Telematics,CarIn,N,N,N,N,N,N,N
f6e9cd04023c0be5f3df0bc54fce3729,Telematics,CarIn,N,Y,Y,Y,N,N,Y
e7ff2c51e5c3aa5bc17299792ba41e13,Telematics,CarIn New,N,Y,Y,N,N,N,Y
d002971a9349867688add0311a7009b2,Telematics,CarIn New,N,Y,Y,Y,N,N,Y
f5a7a73c368ac63cc00a24dca385bf6f,Telematics,CarIn New,N,N,N,N,N,N,N
efdebff6512bb3b4de7133eaafddd03e,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"63b32b961c74ad1cd57d83fa61fadfe7",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"67ab44583a0d64daaf2764970a33141c",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"32fb0ec4717ff11b0c5617b11f43cb58",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7d7647543c2decda5d4ff932474d7b70",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"09742caa011e13bb216e0801c971a1f2",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
cfa5ff20f9809a133c1f8cba597d0ff4,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"4b6cce6dcd1c08c32328c2cf91f88cd8",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"2e4d9e03cf319307eec919845c7c6a5a",Telematics,CarIn New,N,N,N,N,N,N,N
"2631e9a9ab627ca2eff04e0450ff7b86",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7efe29c6816b6101bdfd71a800fef6e2",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7d5b78a0e990ccb69742f77304ec2b07",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"514cdd7b8d74c3644165c1250d293c0d",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"48958752c06b20560c7cf2f05a28421d",Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
f4af64a2e76ea142554dd3d4ed9fd6f2,Telematics,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
a78254b31f60ba7d81e84e47d1f64932,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,N
"637cb5333b480f0c0f399de63b30d2f8",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
a7b3d317c9da7dd6ab63794476028e77,Hybrid,CarIn New,N,Y,Y,Y,Y,Y,Y
dd89e2c11003fa84a4f39678610d0cb9,Telematics,CarIn,N,Y,Y,Y,N,Y,Y
be7050b2a5a7f9b14b3956aa49ff587d,Telematics,CarIn,Y,Y,Y,Y,N,N,Y
"81cc4983c32386267d93611653c7cf8e",Telematics,CarIn,Y,Y,Y,Y,N,Y,Y
ffd553b97e978c87a950f5f27d3d8871,Telematics,CarIn New,Y,Y,Y,Y,N,N,Y
"2e0af2357d0f45257df24720321af971",Telematics,CarIn New,Y,Y,Y,Y,N,Y,Y
"18f2dfbb200c2c6996e28d86540d8859",Telematics,CarIn New,N,N,N,N,N,N,N
ac74c8d0145c07b488c9d713f122b152,Telematics,CarIn,N,Y,Y,Y,Y,Y,N
"5071772a02e72ed6a877cd2ecfec81e2",Telematics,CarIn Employee,N,Y,Y,Y,Y,Y,N
"60b71207e96419a4f9c3626f9f06fb78",Telematics,CarIn New,N,N,N,N,N,N,N
d71a1dce7173aaf1271215627a15f355,Telematics,CarIn,N,N,N,N,N,N,N
c5d0efa4cd169477d2aab3ff25f956fe,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
b54a2af172c378bbbb4c223e6970df33,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"31468e53dcc894070f832ca8094aabc1",Telematics,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"8bc549145884f1872eed00130a4e4388",Telematics,CarIn New,N,N,N,N,N,N,N
cbc77fdd91452db8e676a110eef15a94,Telematics,CarIn New,N,N,N,N,N,N,N
"43e5ccee65c5744d92a77630558d2f2b",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
ac59021c2c64811dc532752bf5ee5945,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
e8a4acd202f47fa0cffbb35b17478f64,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"40c5d6744081e6022e8404582e2c107e",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
e9824eb1039c217e42341f2141c2f2ea,Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
"14ba6ebdfa44f7da6e835c1915d074ef",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
"761075791f89357c93f3cd865fe5a109",Telematics,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
baa0ed85c7539f8d9f808f21550dbef2,Telematics,CarIn New,N,N,N,N,N,N,N
f7eb4b687a197083f4e91b14080663c0,Telematics,CarIn New,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ccdc6ab3bcd6fc0b04728061d4442d64,Telematics Employee,CarIn Employee,N,N,N,N,N,N,N
"03ea149e5a48313a29c38ff069e067d2",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,N
e2aec963aa7787d77dd583715fdf5b39,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
ae9eb3c5e91ffff77725a8fb7ed48918,Telematics Employee,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
"4646f3c402bc206bc57997db55fbc47e",Telematics Employee,CarIn New,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
f5105bc4852bafbf3487b9004b757a0c,Hybrid,CarIn,Y,Y,Y,Y,N,Y,Y
fb2f4baba8dd91cb3c938f750c577633,Hybrid,CarIn New,Y,Y,Y,Y,N,N,Y
dc4f23e84950e8a5b03cb2bc1d55221f,Hybrid,CarIn New,Y,Y,Y,Y,N,Y,Y
d875f551634cdcb63b642868ab9d7563,Hybrid,CarIn,N,Y,Y,Y,Y,Y,N
e725facf5bdd7625ac96af0f1517be29,Hybrid,CarIn New,N,Y,Y,Y,Y,Y,N
a19965348c108c30990f5f783991374d,Hybrid,CarIn,N,Y,Y,Y,Y,Y,Y
"12efe03f217e3c87ecfea7a305d7b41c",Hybrid,CarIn,N,Y,Y,Y,Y,Y,Y
"79e040034c28bcfb52bd98abd08e3605",Telematics,CarIn New,N,N,N,N,N,N,N
"5a4aaa9e6af9d716d82668cf596dd54b",Telematics,CarIn Employee,Y,Y,Y,Y,N,Y,Y
"89c203d94a0668f585f685c7d7b36540",Telematics,CarIn New,N,Y,Y,Y,N,Y,Y
a6b74c697166a14a4c36adbfdc6f679c,Telematics,CarIn,N,N,N,N,N,N,N
a62b1d28a7b5a51ebc78f338d821ea20,Telematics,CarIn,N,Y,Y,Y,Y,Y,N
ad571ef8051df1b6eb00e995d1436c97,Telematics,CarIn,N,N,N,N,N,N,N
"00bf140947e343787b2a1149fb5b2fd1",Telematics,CarIn Employee,N,Y,Y,Y,Y,Y,Y
a3194a73d0adeb1b8d9664536855bfa1,Telematics,CarIn,N,N,N,N,N,N,N
d60f86e7cd717cc6c45a1861963b9c4b,Telematics,CarIn New,N,N,N,N,N,N,N
"376dfd6c5db2c672b1d4c4397bb53124",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7aeee9a94a0bb2c6a43d5e5ffbb3a710",Telematics,CarIn,N,N,N,N,N,N,N
"59c7caae851eb03fd4b57f83e6e42b5d",Telematics,CarIn,N,N,N,N,N,N,N
"9aad96825845316a05e3c13e7602103a",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"4b8aa63ea59ffe39e3222bef6306c473",Telematics,CarIn New,N,N,N,N,N,N,N
adba6690c1cb70201d48625ba99e9124,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"2ea9bc69b4acb4bff49032830edfe8a0",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"1c9c61b72a5e0beffc626331f0cc4f55",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"67613f22211b0a6866b60a345c4954fe",Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"04176a436a7715d586489adb2a959f1a",Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"9a58fe94afc39c12ab49c6cd3faef009",Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
"77564e56f872c44d57092fa6c10c4bf4",Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"4188f28c6cfcc04ff27abb5bb4c206b5",Telematics Employee,CarIn Employee,N,Y,Y,Y,N,N,N
bec483f80751bc8b53197da14fe7a93c,Telematics Employee,CarIn Employee,N,N,N,N,N,N,N
"8542c558a63615ea44cf6f8a5593b57c",Telematics Employee,CarIn Employee,Y,Y,Y,Y,N,N,Y
"00c04ab5d7d681d5b05aa2f132fefa1b",Telematics Employee,CarIn Employee,Y,Y,Y,Y,N,Y,Y
"0a9e27088445669457eefe1fd4099908",Telematics Employee,CarIn,N,Y,Y,Y,Y,Y,Y
b22df05f83a039628755cd1cc5c2f8c1,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"414694cac4f51cb9c9c86c82593bbdac",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
eb9d19d4d45ff374ab3a077b0737e8b9,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"2dc869c90bba1e7b694b16ed32ab8fb0",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
ca19a59a09311c10fead65913975bf50,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"697ad34a79efa83d44c6fab84dc6e0a2",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"0dd1531ed4b1a3a4ca9fdc41e8b909b7",Telematics Employee,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
f0f1c38a5ccd78a89f1b28e2c581d034,Telematics Employee,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
"925bb21ab0614dad5d8c491897b5143b",Hybrid,CarIn New,N,Y,Y,Y,N,N,N
e6b7999d264896952b694c99b1490aca,Hybrid,CarIn New,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"680868c75ed5f5a63c4757e9e188bbb3",Telematics,CarIn,N,N,Y,N,N,N,N
"18c4a6b04cc4c648ef4ff6541c132e2f",Telematics,CarIn,N,Y,Y,N,N,N,N
ae24857e49b395232a759605d1afe8a9,Telematics,CarIn,N,Y,Y,Y,N,N,N
"76dccc073ca959c7c57dc8f3840079b9",Telematics,CarIn New,N,N,Y,N,N,N,N
"6014b13de73697dbbef73208cfa6a782",Telematics,CarIn New,N,N,N,N,N,N,N
"4d274022d94f1619a4b7433066e0a3f5",Telematics,CarIn,N,N,N,N,N,N,N
"9e7286e267d8a2719a4dfcd652acef25",Telematics,CarIn New,N,Y,Y,Y,Y,Y,N
"2661d938891b0cf014144db4e1d0e603",Telematics,CarIn New,N,Y,Y,Y,Y,Y,N
"10d5fdca5467d181bd735b301ced77f8",Telematics,CarIn,N,N,N,N,N,N,N
"0761c8d35e5e660aa6bd7b5debaf249d",Telematics,CarIn New,N,N,N,N,N,N,N
c839606628908d1b849cbe46038dee7f,Telematics,CarIn New,N,N,N,N,N,N,N
"571a67c1bf5977b3bafd44e5e26f61e8",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"4fad66e5c832dee400e0c3acb00f08b1",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
a718df346714eeddb751e061ff1a91c9,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"7d91b599d163ad4ab1f4926e782c1fe7",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"8a3ef5666133b61062e73cbb44f331c7",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"40f134fd7199c35aa20a92d8e16d338b",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"86a57d410417bf407e4940b7fe7572cf",Telematics,CarIn New,N,N,N,N,N,N,N
"1c7c09dc3a65d5de7313e3bd9e55895c",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
f56f593c16a38da2b6bab36e93920e36,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
b783616e254ed9b4b82acfd216d652ac,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
c1325afc7bcb5534f7bfac9e808b64b3,Telematics,CarIn,N,N,N,N,N,N,N
da461823c84557dd9af155693a564c99,Telematics,CarIn,N,N,N,N,N,N,N
"6190554c4fec5ba8b4708cbb7941576d",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
fe140dfcd25eb5fb463df402c09b87b4,Telematics,CarIn New,N,N,N,N,N,N,N
"1087c7515d7b5c25b779d4d0361bc335",Telematics,CarIn New,N,N,N,N,N,N,N
bf0ac8d28a7e218a929ddb99ab106788,Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"0e388c0e9954020acfc646ba6ab871f3",Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"580363a06f86d29fc79d4346f7d6e12c",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
ee3a5885c826e7448e2bcd74c4cbf74b,Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
a0a0673b3556064263f94e4320040d7f,Telematics Employee,CarIn,N,Y,Y,Y,Y,Y,N
"1cf9d28362a8e6cfcabb6a2364e06465",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"9d0656d63941b7d7987f3d8edf6f8c9b",Telematics Employee,CarIn Employee,N,N,N,N,N,N,N
f1af3daeab3702b66cf464f46d246927,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"7ef1a71db6641f1d6dd4f16b505eb126",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
c2d043838cb6f2e7ad5ac3ac5fe67be2,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
d72fbc3bc3578d395a16eda596ee02b5,eBike,CarIn New,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
